time,temperature,conversion
729.3,411.3472,0.003055986
729.402,411.3619,0.003080117
729.498,411.3763,0.003102906
729.6,411.3925,0.0031272
729.702,411.4072,0.003151582
729.798,411.4229,0.003174611
729.9,411.4364,0.003199171
730.002,411.4518,0.003223821
730.098,411.4667,0.003247103
730.2,411.4831,0.003271931
730.302,411.4965,0.003296852
730.398,411.5122,0.00332039
730.5,411.5278,0.003345483
730.602,411.5413,0.003370663
730.698,411.556,0.003394445
730.8,411.572,0.003419804
730.902,411.5862,0.003445255
730.998,411.6015,0.003469298
731.1,411.6163,0.00349494
731.202,411.6312,0.003520674
731.298,411.647,0.003544978
731.4,411.6622,0.003570888
731.502,411.6765,0.003596885
731.598,411.6921,0.003621435
731.7,411.7067,0.003647608
731.802,411.722,0.003673867
731.898,411.7374,0.003698664
732,411.7523,0.003725099
732.102,411.7661,0.003751621
732.198,411.7816,0.003776662
732.3,411.7968,0.003803353
732.402,411.8117,0.003830134
732.498,411.8269,0.003855422
732.6,411.8415,0.003882376
732.702,411.8567,0.003909416
732.798,411.872,0.003934948
732.9,411.8866,0.003962167
733.002,411.9017,0.003989476
733.098,411.9168,0.00401526
733.2,411.9318,0.004042751
733.302,411.9472,0.004070336
733.398,411.9619,0.004096382
733.5,411.977,0.00412414
733.602,411.992,0.004151982
733.698,412.0066,0.004178264
733.8,412.0216,0.004206273
733.902,412.0364,0.004234368
733.998,412.0517,0.004260893
734.1,412.0664,0.004289164
734.202,412.0822,0.004317522
734.298,412.0973,0.004344294
734.4,412.1115,0.004372828
734.502,412.1258,0.004401448
734.598,412.1416,0.004428464
734.7,412.1575,0.004457254
734.802,412.1714,0.00448613
734.898,412.1864,0.004513388
735,412.2023,0.004542434
735.102,412.2177,0.004571566
735.198,412.2323,0.004599065
735.3,412.2471,0.004628374
735.402,412.2623,0.004657778
735.498,412.2772,0.004685537
735.6,412.2926,0.00471512
735.702,412.307,0.004744789
735.798,412.3223,0.004772793
735.9,412.3364,0.004802629
736.002,412.3521,0.004832549
736.098,412.3672,0.004860788
736.2,412.3828,0.004890881
736.302,412.3977,0.004921063
736.398,412.4123,0.004949549
736.5,412.4268,0.004979904
736.602,412.4423,0.005010345
736.698,412.4574,0.00503907
736.8,412.4721,0.005069672
736.902,412.4877,0.00510036
736.998,412.5022,0.005129324
737.1,412.5169,0.005160179
737.202,412.532,0.005191118
737.298,412.5474,0.005220317
737.4,412.5619,0.005251426
737.502,412.5777,0.005282624
737.598,412.5922,0.005312072
737.7,412.6083,0.00534345
737.802,412.6225,0.005374916
737.898,412.6371,0.005404612
738,412.6522,0.005436245
738.102,412.667,0.005467962
738.198,412.6826,0.005497893
738.3,412.6977,0.005529786
738.402,412.7138,0.005561771
738.498,412.7278,0.00559196
738.6,412.7416,0.005624127
738.702,412.7573,0.005656384
738.798,412.7724,0.005686823
738.9,412.7876,0.005719249
739.002,412.8019,0.005751762
739.098,412.8178,0.005782445
739.2,412.8322,0.005815136
739.302,412.8467,0.005847914
739.398,412.8618,0.005878841
739.5,412.8772,0.005911783
739.602,412.8924,0.005944809
739.698,412.9071,0.005975966
739.8,412.922,0.006009146
739.902,412.9372,0.006042404
739.998,412.9523,0.006073775
740.1,412.9675,0.006107179
